Date,Returns
2016-11-10,0.019556531195468407
2016-11-14,-0.098258112273095
2016-11-15,0.00900625186377546
2016-11-16,-0.006753172501299365
2016-11-17,-0.009045754048724763
2016-11-18,-0.00882995124548569
2016-11-21,-0.006079680654347719
2016-11-22,0.006722387708846922
2016-11-23,-0.014437813974290448
2016-11-25,0.004944227727989414
2016-11-28,0.006924101381992731
2016-11-29,0.005006647029552225
2016-11-30,-0.015305153995174847
2016-12-01,0.001280014008338215
2016-12-02,0.01984538923770196
2016-12-05,0.004237995517108795
2016-12-06,-0.004992845518052125
2016-12-07,0.027658264418243705
2016-12-08,-0.01034700338364436
2016-12-09,-0.007518370799235341
2016-12-12,0.012960872835116266
2016-12-13,-0.011977093324499366
2016-12-14,0.014251146589545405
2016-12-15,-0.07316931486340927
2016-12-16,0.016103639995462826
2016-12-19,-0.007862366801428933
2016-12-20,0.0017472720345041992
2016-12-21,-0.008471447788667708
2016-12-22,-0.006470702260110928
2016-12-23,-0.007018597088068956
2016-12-27,0.014327523132072306
2016-12-28,0.003703937495787013
2016-12-29,0.010945721220644078
2016-12-30,-0.01404443719947479
2017-01-03,0.026355486535279526
2017-01-04,0.008742947061099793
2017-01-05,0.005151771450786491
2017-01-06,-0.007115293815283419
2017-01-09,0.009959890925783865
2017-01-10,0.01040290732041127
2017-01-11,-0.0011901773846982877
2017-01-12,-0.00017876779063163983
2017-01-13,-0.0035757674334161438
2017-01-17,0.022846889100738954
2017-01-18,0.00777694629864345
2017-01-19,-0.015549843371894245
2017-01-20,0.0017681789167072193
2017-01-23,0.009001581593246488
2017-01-24,-5.827696922122705e-05
2017-01-25,-0.011954045598449592
2017-01-26,-0.007672394839390195
2017-01-27,0.01700970702676119
2017-01-30,0.001286512252112626
2017-01-31,0.022777677603212032
2017-02-01,-0.005253486441898825
2017-02-02,-0.0010332749665521446
2017-02-03,0.002930621695197866
2017-02-06,0.012261543626469695
2017-02-07,0.0037357774762234452
2017-02-08,-0.0028195590460674547
2017-02-09,0.0020923343792507154
2017-02-10,0.010835291053970186
2017-02-13,-0.006029466615707357
2017-02-14,0.003819303906627214
2017-02-15,0.00419655109059458
2017-02-16,0.006463432705648975
2017-02-17,-0.002435953643232569
2017-02-21,-0.001609375184440598
2017-02-22,-0.0026681673492873204
2017-02-23,0.009530790064499195
2017-02-24,0.012256291025066313
2017-02-27,0.0010363245679529953
2017-02-28,0.0035959458252352583
2017-03-01,0.0012486813192238433
2017-03-02,-0.04001522737016594
2017-03-03,-0.0004518170028886548
2017-03-06,0.0015821822460817536
2017-03-07,-0.013145263469946489
2017-03-08,-0.01343474743927775
2017-03-09,-0.015298136435008547
