Simulation,Final_Value
119,1451299.5488979102
120,835029.5349375724
121,1046753.3033107166
122,1209329.7765191684
123,1212673.2693382592
124,954722.22782222
125,1201246.493013971
126,2054939.0825417184
127,1843502.783318205
128,1807997.9305812875
129,1002649.3152962521
130,1682105.7902617462
131,1058976.161790301
132,1520077.4917054626
133,1140552.4550676544
134,1442950.0746008775
135,1553135.4573438312
136,1348360.0808110158
137,1421610.919475746
138,1415128.7578529688
139,725063.6947737491
140,924710.2823746568
141,663157.3990072294
142,759262.8880816172
143,3210876.660690513
144,926493.5491395566
145,722517.5652812402
146,1233290.2530441901
147,1661430.6164647487
148,1134835.0534180712
149,1554411.8675445267
150,1234259.7884001133
151,878575.1705028157
152,1140607.9436962423
153,1081046.4555603971
154,1265416.3514902836
155,1404728.3594890097
156,1746557.628811077
157,425192.3004032575
158,1306986.1753324445
159,854280.6285536173
160,1303924.2008296535
161,1306108.7486991258
162,1019927.8458079613
163,1749650.8214655744
164,769571.0969601186
165,936270.1071711273
166,1327522.3312770093
167,989443.9297172504
168,1161998.9950340602
169,1544707.9475155585
170,660229.1362205963
171,1493006.1076459724
172,1539196.091446691
173,949172.1659819203
174,2086082.2063257839
175,1383028.683292468
176,909115.4714177012
177,1649362.838078822
178,1383570.7424745995
179,1845986.5517077413
180,1593995.7357615326
181,1245629.6881882017
182,921839.1048225857
183,1277924.3221770292
184,987489.1693504764
185,786956.7933499371
186,869463.2328803801
187,1610647.5197952865
188,1608997.715602521
189,861160.1647998628
190,1097334.9713338797
191,1366515.795506077
192,1622982.473993027
193,1802113.254731369
194,1022012.8900697882
195,853537.5751237964
196,1556589.3488131082
197,1619870.8282216098
198,1139454.955942182
199,857905.2976013494
200,1356065.8330137953
201,1089755.7790149814
202,1192972.8219193702
203,1105237.7990322101
204,1164192.2739192438
205,1759873.7908600548
206,1213980.1590723307
207,1567931.843648097
208,1052045.8068527377
209,1207620.0938228518
210,1088680.890112629
211,1057271.5031684916
212,1693687.0478361947
213,1226029.7851147188
214,692318.4703918298
215,913873.7539101198
216,1309024.656996991
217,995501.308606186
218,1217995.0589252342
219,1325393.874897757
220,1429642.8203289653
221,1265350.5149152693
222,2370453.157407863
223,739925.1411882389
224,923930.5352704709
225,1220330.0331370381
226,863520.116087
227,2644280.916389147
228,1415085.0793367217
229,1051775.5335915126
230,1863863.2588299192
231,2514914.5820418717
232,648223.9472427357
233,944095.2509349193
234,1071264.654734765
235,1060206.334494481
236,2349511.0681116213
237,1222893.3946673435
238,2099930.277377875
239,1355044.1946790896
240,667575.3831737345
241,1415251.0199857745
242,1015009.2615426241
243,930132.9860247445
244,1006620.8081762915
245,1451054.7902391802
246,865180.5490466747
247,1315699.054013859
248,1213177.2094256515
249,1159341.4233466838
250,1171523.5383745327
251,1122057.6529107152
252,1470086.889530529
253,667203.1732601387
254,1019014.7227828064
255,2118158.6165215764
256,1710569.5275279654
257,1350633.5465704838
258,1307670.3769385535
259,1641754.2820225272
260,1016095.3753829078
261,2864552.4561749534
262,2066273.117763051
263,887775.4231184904
264,1482114.8199970592
265,957510.0698046326
266,881488.1839157138
267,1579132.1150241087
268,1713696.4980692798
269,1361661.8978309934
270,1699750.833554597
271,1138669.656818603
272,984784.5548008326
273,1056540.4887059168
274,907981.1759922022
275,1861031.554217957
276,1565893.9685453537
277,1151034.4307842024
278,1099126.4703353248
279,1592631.190426597
280,714912.7333794897
281,1187851.3795810868
282,1177071.8202300046
283,1631202.4944664042
284,1151938.986571127
285,1640537.3549752145
286,1815696.5683591445
287,1282062.1173490088
288,1316438.4038074233
289,1592393.7628372933
290,1204333.121316672
291,1993585.6840719266
292,2025491.460200496
293,1758136.5786199772
294,1168455.8135261377
295,995079.26014943
296,2036238.5954822924
297,809759.0909952008
298,898661.631285825
299,1498525.5552956136
300,1074380.832572597
301,820249.9683465771
302,738206.1857139238
303,1072110.5942961106
304,654123.3492150338
305,1732179.7756930627
306,762528.2821669388
307,1219626.8040211734
308,1374085.2483269547
309,2017321.0829507622
310,1132351.618797103
311,1684743.2828968454
312,2201996.4122856874
313,1361022.9835252494
314,1663078.7984307313
315,571826.4188688311
316,829321.7550953322
317,1118657.1788728938
318,1170623.9992930298
319,1830379.0030960813
320,1357401.1817914543
321,1290139.4152330654
322,770490.2966361038
323,1414760.9098688383
324,706330.6075658466
325,825166.31228124
326,2136925.822578677
327,1359113.8903376095
328,897487.0236189647
329,1542818.8052900664
330,1311439.289642525
331,1489518.6141331196
332,1914135.3627434296
333,1714455.2690271742
334,1521478.2854955283
335,1345991.56120682
336,965879.3760432539
337,1926132.7947781496
338,703071.0534604654
339,822928.1463845496
340,1428551.8044500144
341,1302493.5955113512
342,827596.6432324905
343,1528328.0359867536
344,847392.0859853288
345,1421870.6874662524
346,1580403.9880292455
347,1651649.1662456559
348,1440528.3829368139
349,1557527.951588072
350,654255.6217082895
351,1794946.2578424148
352,1168163.0254051657
353,1264993.270454243
354,1367939.4498021253
355,1435073.5933689657
356,1215558.491153927
357,1223461.712074269
358,1807853.9879307556
359,892830.1303222997
360,1067383.7556515972
361,1446322.1965993966
362,1210389.1207046895
363,1362763.7669396936
364,1216821.028661682
365,766353.2713845775
366,1471179.3299981677
367,721385.1815143476
368,2013605.8887261013
369,842628.9755871363
370,1295160.492432593
371,2150576.3561386247
372,1722638.6227092377
373,1519902.3983548444
374,1870294.5146745222
375,996114.5104534533
376,1813764.117243631
377,1780394.9613395552
378,1664359.8952928002
379,1228838.963864116
380,1339590.2698628043
381,1368273.0301296872
382,1439522.005229902
383,1589514.8450022677
384,1586456.76616786
385,2542146.7882357035
386,2231824.3855705396
387,1449379.7065748873
388,1238611.114093621
389,1310632.1048876434
390,1093631.5232088622
391,860929.1704487229
392,1342057.9495694113
393,1110904.7461810326
394,1003673.4869421606
395,935729.3552501802
396,1623790.7010100752
397,1283464.5736577425
398,2212304.267131072
399,938567.6867760756
400,1679794.8279916001
401,712441.031431829
402,1757930.7822538815
403,1056798.9164624894
404,1396440.5475152545
405,1572211.8417031264
406,1403225.10078568
407,867279.0984348739
408,841986.8427255168
409,812251.8248177074
410,1609189.3170662776
411,851181.5057931399
412,1190398.246276349
413,1249375.8642392405
414,1237054.4254342613
415,966995.2053127852
416,1924432.129856336
417,1055167.1987495425
418,1299445.6472875117
419,1370758.7304140858
420,1025486.9674525206
421,2676505.4252477973
422,1129445.6549278882
423,2094560.902255859
424,1527646.068154227
425,1033835.1877387087
426,1288478.5109137734
427,820137.307701594
428,1911352.7084319934
429,1156377.4698168724
430,1152116.8554433824
431,1027393.2226127038
432,1176595.7628002528
433,1078154.3839975675
434,930525.942594335
435,1383665.4348072808
436,1481769.7647132769
437,831593.16296699
438,1715705.2073642632
439,844532.6287529559
440,1078050.8442346998
441,2006009.6999456363
442,1487444.4994715159
443,1288250.4978560829
444,1015119.9157304518
445,1268420.5078396674
446,1351131.7839081737
447,1098239.6165480928
448,1404811.0639495205
449,1169973.2959745422
450,849369.977388203
451,1352916.5134393696
452,1116937.5474408842
453,2508029.4787447024
454,2050172.0717137859
455,1260165.1481796505
456,1533108.4056627976
457,1297253.3974701725
458,1388782.6868216663
459,854130.2061297401
460,1917285.3348052015
461,1013061.8845333443
462,1030305.1244989192
463,1408977.1247868042
464,1358507.0415923377
465,1319920.2978917742
466,1436846.0209471188
467,2789941.433350284
468,1241349.9620688832
469,1244967.2272474351
470,1430140.4152825566
471,1074624.050525289
472,1377783.8595222202
473,1689573.8482829186
474,1441851.6483048846
475,1246269.6806313521
476,1060985.9717448484
477,1343325.6792304986
478,1130308.0784747617
479,1590964.0248623716
480,2740010.376852853
481,1212242.6936761849
482,1328276.3510914883
483,1247269.780808685
484,948105.644833152
485,1207946.2741710208
486,1501375.6558296925
487,646230.7593450556
488,1423079.2275690958
489,1304294.5705673127
490,1070426.7181074077
491,1290248.3754464968
492,1750097.8513566793
493,1665128.1919842963
494,890212.9253941672
495,879589.6707107289
496,848957.3020783238
497,1227490.2881416106
498,1000759.5409121421
499,1163283.4462193968
500,1866850.5400163182
501,2394386.4611983295
502,896365.1810660996
503,1755778.3724632536
504,905831.6123248736
505,1481836.280225943
506,1813038.2787254371
507,1427336.0207374282
508,1624989.8702542372
509,1360251.4422621722
510,1661841.5137959179
511,729373.1528710126
512,994343.8861606877
513,973257.7467717158
514,2270940.385106851
515,2030327.2066660766
516,1167844.078974556
517,827055.2769420652
518,1182651.3748871912
519,1452929.348462434
520,1081020.0773881776
521,1033921.9569742149
522,1312437.3966938145
523,917826.936309178
524,1881388.628607545
525,1181581.2470104762
526,2112077.404020242
527,1247101.277236966
528,739859.3161422103
529,1230318.4241313494
530,1965396.9375125063
531,1132159.8671730717
532,937837.4162552311
533,1997324.2078836411
534,898201.291970379
535,1223388.658845738
536,1021825.86726867
537,1914148.8878745094
538,1487019.502963273
539,618487.8809044595
540,1789895.136657025
541,2549099.967252527
542,2521930.513273719
543,954247.2899870744
544,966708.9588608701
545,1687480.8930733504
546,2166021.229999208
547,798095.6682267294
548,973493.8278407071
549,1126914.7682188342
550,988543.1998144609
551,746754.7672164488
552,1098303.2817999632
553,1123534.5410644966
554,1079086.0940449862
555,1108194.0346819295
556,1281745.8470042823
557,934728.096489768
558,2085502.81997349
559,2190232.815751805
560,1057248.8637046446
561,849323.6327599376
562,1708330.8218014513
563,1376554.2110416961
564,1074589.1132262268
565,1151568.9440805505
566,750560.3927878033
567,1273857.5383456005
568,1324589.7905682516
569,1975574.5211902016
570,666248.0282939319
571,1327566.67698287
572,983306.0543115195
573,2017594.4887924544
574,1457838.8507285255
575,1581094.197777532
576,803800.9553323742
577,1449630.2808781553
578,1531350.476693706
579,1735526.681550381
580,1348715.6061837163
581,752236.5134647018
582,1285585.2817914176
583,833006.2225808912
584,676203.2891661724
585,1315134.192048974
586,1241866.4411047876
587,1085188.7622470064
588,954042.978507541
589,909304.1340289372
590,1843437.46734086
591,2806175.538342105
592,1440761.1417385028
593,1341525.998928519
594,1978989.7272571947
595,1521723.5813457626
596,1598852.9103648437
597,691451.8827839555
598,718151.5366240814
599,2226202.5022506085
600,1162618.0487461162
601,1253718.2193957348
602,1086507.6931847197
603,1927270.5137786001
604,1470064.5610467824
605,1121812.0847642533
606,693806.0827394173
607,1119789.7014584898
608,830296.4771001099
609,1176407.6947399804
610,679061.666067526
611,1742526.5023923295
612,750387.6011907307
613,1462882.2270184937
614,1260752.630716737
615,1354205.082043053
616,941429.3587374018
617,1057346.2042886293
618,911163.0575225686
619,1754930.8108031722
620,1272853.454534147
621,1814725.150868286
622,973113.5173116075
623,1859368.4640774257
624,1324953.2552594387
625,1530811.8886741651
626,536803.2390961943
627,733894.7370691461
628,1701718.7176914043
629,963953.4939278179
630,2516999.651731699
631,1529945.3921922164
632,1643519.611638426
633,772619.4002045086
634,1301587.2908703862
635,2606435.6423576768
636,1358626.6088409259
637,1014163.3114080606
638,1178321.3293650884
639,780444.2090291993
640,1516509.6195553688
641,912951.6164084345
