Date,EMA_12,EMA_26,MACD,Signal_Line
2016-12-30,16.1186452,16.43847013,-0.319824932,-0.321794102
2017-01-03,16.15516146,16.4323613,-0.277199839,-0.31287525
2017-01-04,16.20805978,16.43729754,-0.229237758,-0.296147751
2017-01-05,16.26589668,16.44816436,-0.18226768,-0.273371737
2017-01-06,16.29668175,16.44948549,-0.152803744,-0.249258138
2017-01-09,16.34796135,16.46285688,-0.114895525,-0.222385616
2017-01-10,16.41796722,16.48805263,-0.070085406,-0.191925574
2017-01-11,16.47412625,16.50990065,-0.035774395,-0.160695338
2017-01-12,16.52118386,16.52990806,-0.0087242,-0.130301111
2017-01-13,16.55177085,16.54398889,0.007781959,-0.102684497
2017-01-17,16.63642138,16.585323,0.051098384,-0.071927921
2017-01-18,16.72851049,16.63344726,0.095063229,-0.038529691
2017-01-19,16.76520104,16.6581548,0.107046237,-0.009414505
2017-01-20,16.80086238,16.68325443,0.11760795,0.015989986
2017-01-23,16.8545758,16.71782815,0.136747654,0.040141519
2017-01-24,16.89987186,16.74976681,0.150105042,0.062134224
2017-01-25,16.90666084,16.76415448,0.142506363,0.078208652
2017-01-26,16.8924052,16.76784668,0.124558523,0.087478626
2017-01-27,16.92434292,16.79245065,0.131892265,0.096361354
2017-01-30,16.95475166,16.8168617,0.137889963,0.104667076
2017-01-31,17.04048204,16.86835336,0.172128682,0.118159397
2017-02-01,17.09886943,16.90921608,0.189653352,0.132458188
2017-02-02,17.14550497,16.94571862,0.199786345,0.145923819
2017-02-03,17.19281176,16.98329496,0.209516804,0.158642416
2017-02-06,17.26576377,17.03393976,0.231824009,0.173278735
2017-02-07,17.33764624,17.08572199,0.25192425,0.189007838
2017-02-08,17.39077767,17.12996484,0.260812827,0.203368836
2017-02-09,17.44142715,17.1736711,0.267756054,0.216246279
2017-02-10,17.51382308,17.22836218,0.285460899,0.230089203
2017-02-13,17.55846581,17.27100208,0.287463732,0.241564109
2017-02-14,17.6067018,17.31552043,0.291181376,0.251487562
2017-02-15,17.65905545,17.36229673,0.29675872,0.260541794
2017-02-16,17.72120072,17.41420065,0.307000068,0.269833449
2017-02-17,17.76701586,17.45900054,0.308015318,0.277469823
2017-02-21,17.80132107,17.49833382,0.302987259,0.28257331
2017-02-22,17.8229639,17.53119794,0.291765964,0.284411841
2017-02-23,17.86758497,17.57429445,0.293290523,0.286187577
2017-02-24,17.93949483,17.63064294,0.308851895,0.290720441
2017-02-27,18.00326487,17.68422495,0.319039923,0.296384337
2017-02-28,18.06737798,17.73872681,0.32865117,0.302837704
2017-03-01,18.12516611,17.79089526,0.334270852,0.309124333
2017-03-02,18.06052516,17.78453264,0.275992517,0.30249797
2017-03-03,18.00459829,17.77804878,0.22654951,0.287308278
2017-03-06,17.96158322,17.77411927,0.187463958,0.267339414
2017-03-07,17.88933974,17.75322159,0.136118155,0.241095162
2017-03-08,17.7920567,17.71646443,0.07559227,0.207994584
2017-03-09,17.6691249,17.66287447,0.00625043,0.167645753
2017-03-10,17.54818252,17.60510595,-0.056923429,0.122731917
2017-03-13,17.45384667,17.55546843,-0.101621767,0.07786118
2017-03-14,17.36679341,17.50602636,-0.139232955,0.034442353
2017-03-15,17.29313296,17.46024667,-0.16711371,-0.00586886
2017-03-16,17.29357397,17.44808021,-0.154506244,-0.035596336
2017-03-17,17.30671639,17.44296314,-0.136246748,-0.055726419
2017-03-20,17.32152924,17.4400029,-0.118473663,-0.068275868
2017-03-21,17.35667847,17.44815077,-0.091472309,-0.072915156
2017-03-22,17.38565102,17.4553248,-0.069673776,-0.07226688
2017-03-23,17.41293544,17.46330072,-0.05036528,-0.06788656
2017-03-24,17.46017603,17.48231543,-0.022139395,-0.058737127
2017-03-27,17.55553356,17.52658835,0.028945201,-0.041200661
2017-03-28,17.65852845,17.57832258,0.080205873,-0.016919354
2017-03-29,17.74613956,17.62644688,0.119692678,0.010403052
2017-03-30,17.81365647,17.66782115,0.145835322,0.037489506
2017-03-31,17.87847864,17.70983444,0.168644204,0.063720446
2017-04-03,17.92655885,17.74547633,0.181082518,0.08719286
2017-04-04,17.98431903,17.78670031,0.197618723,0.109278033
2017-04-05,18.01227001,17.81479661,0.197473397,0.126917106
2017-04-06,18.04499776,17.84518207,0.199815682,0.141496821
2017-04-07,18.0580749,17.86627964,0.19179526,0.151556509
2017-04-10,18.03283247,17.86833293,0.164499536,0.154145114
2017-04-11,18.06362744,17.89534529,0.16828215,0.156972521
2017-04-12,18.09676158,17.92376411,0.172997469,0.160177511
